bench,node,strategy,throughout,tpp
linear_regression,2,mcs_stp,0.602409638554217,0.00589299523993899
streamcluster,1,malth_stp,1.05263157894737,0.00861439164373688
lu_ncb,2,clh_stp,0.0675219446320054,0.000378389174414675
histogram,2,mcs_spin,0.591715976331361,0.00518559288802158
lu_ncb,1,ticket,0.0367647058823529,0.000267908666884515
histogram,2,malth_stp,0.395256916996047,0.00322074534121521
pca,2,clh_spin,0.136054421768707,0.000984705214939441
kmeans,2,ticket,0.0394944707740916,0.000248808555104219
lu_cb,1,clh_spin,0.0524658971668416,0.000432090545202871
histogram,2,mutexee,0.45045045045045,0.00429742290295464
histogram,2,spinlock-ls,0.420168067226891,0.0040547763631483
streamcluster,2,mcs_spin,0.909090909090909,0.00607726967623473
linear_regression,1,c-bo-mcs_stp,1.5625,0.010822498992723
blackscholes,1,clh-ls,0.0267665952890792,0.000274932874348296
histogram,2,pthread,0.4739336492891,0.0044274077989116
lu_ncb,2,malth_spin,0.0711743772241993,0.00041490432097454
freqmine,2,malth_spin,0.0284819139846198,0.000203325737190877
histogram,2,ttas,0.40650406504065,0.00393433167655348
lu_cb,2,clh_spin,0.078003120124805,0.000567551216861847
histogram,2,pthreadadapt,0.4739336492891,0.00439674240782392
histogram,1,mcs_stp,1,0.0081287471949624
pca,1,c-bo-mcs_stp,0.106496272630458,0.000852622326164235
histogram,2,partitioned,0.392156862745098,0.00394165892291639
streamcluster,2,mcs_spin,0.72463768115942,0.00479461600677951
histogram,2,mutexee,0.462962962962963,0.00437130273848347
histogram,1,ticket,0.980392156862745,0.00796656128313515
dedup,2,backoff,0.0710227272727273,0.000689952638594397
streamcluster,2,mcs_stp,0.72463768115942,0.00472171723718688
histogram,2,malth_stp,0.371747211895911,0.00374888338571136
lu_cb,1,partitioned,0.0522739153162572,0.000437065778945626
memcached-new,1,mcs_spin,468788,2892.07948286864
vips,1,ticket-ls,0.089126559714795,0.000698228894023048
histogram,1,mcs_stp,0.99009900990099,0.00804227398803443
sqlite,2,pthread,13224,109.725819869434
barnes,1,mcs_stp,0.0547045951859956,0.000454983614520396
histogram,2,ttas-ls,0.371747211895911,0.00369008301959848
memcached-new,1,c-bo-mcs_stp,435582,2730.10651785275
streamcluster_ll,1,spinlock-ls,25314,209.451891852659
linear_regression,2,mcs-ls,2,0.0123569386243092
p_raytrace,1,c-ptl-tkt,0.0174794616325817,0.000216820883107173
fmm,2,c-bo-mcs_stp,0.0771010023130301,0.000601983639754574
histogram,2,c-bo-mcs_stp,0.381679389312977,0.00385911134683935
dedup,1,malth_stp,0.0744601638123604,0.000758366389007497
histogram,2,clh_spin,0.37037037037037,0.00366639724268742
histogram,1,c-tkt-tkt,0.970873786407767,0.00786663968933696
string_match,1,spinlock-ls,0.0321543408360129,0.000259456279922324
word_count,2,alock-ls,0.124843945068664,0.00111738267339742
histogram,2,mcs_stp,0.336700336700337,0.00343196173609765
streamcluster,1,partitioned,1.20481927710843,0.00983376415054077
lu_cb,2,pthreadadapt,0.078125,0.000567084374268449
histogram,1,c-bo-mcs_stp,0.943396226415094,0.00780614701603941
volrend,2,hticket-ls,0.102564102564103,0.000975371831029967
dedup,2,spinlock-ls,0.0744601638123604,0.000740060309557192
histogram,2,ttas,0.396825396825397,0.00396662625057958
histogram,2,mcs-ls,0.418410041841004,0.00400496415306773
streamcluster,1,hmcs,1.28205128205128,0.0101553078651143
vips,2,backoff,0.16750418760469,0.00102975174284684
p_raytrace,2,clh_spin,0.0170473917490624,0.000211295855294456
swaptions,2,ahmcs,0.0670690811535882,0.00044749050014698
word_count,2,partitioned,0.133155792276964,0.00116791391093535
memcached-new,1,pthread,382199,2466.98803777478
linear_regression,1,mcs_stp,1.49253731343284,0.0109363224314822
water_nsquared,2,ticket,0.0351493848857645,0.000223108289207127
p_raytrace,1,mcs-timepub,0.0173641257162702,0.000214856588209894
histogram,1,partitioned,0.980392156862745,0.0079932654500469
rocksdb,2,ticket,6299573,36942.3541636615
dedup,2,mcs-timepub,0.0523012552301255,0.000498738276447357
histogram,2,hticket-ls,0.381679389312977,0.00371489601120062
s_raytrace,2,mcs_stp,0.00233089366463102,2.9859941356825e-05
linear_regression,2,ticket,1.96078431372549,0.0119649209575785
