bench,node,strategy,throughput,tpp
pca_ll,2,pthreadadapt,440244,2164.83291468918
swaptions,1,c-tkt-tkt,0.0363636363636364,0.000240030226449547
p_raytrace,3,mcs_stp,0.0136258345823682,0.000118680252126151
lu_ncb,1,mcs_spin,0.03385240352065,0.000224602223476574
ferret,4,c-bo-mcs_spin,0.0114784205693297,5.244672167406e-05
dedup,3,mcs-ls,0.0349162011173184,0.000278526496225447
sqlite,2,pthread,10681,61.0037277269927
radiosity_ll,2,ticket-ls,152796,882.524672076465
lu_ncb,2,backoff,0.0521376433785193,0.00031334423190738
freqmine,4,ttas,0.0317258883248731,0.000177048742706333
swaptions,4,spinlock-ls,0.13262599469496,0.000532455457691603
barnes,1,c-bo-mcs_stp,0.0506329113924051,0.00034377926547766
word_count,1,c-ptl-tkt,0.129366106080207,0.000980926887036273
water_spatial,4,c-tkt-tkt,0.112485939257593,0.000650839373840273
radiosity,4,clh_spin,0.0555247084952804,0.000419898525718263
barnes,1,mcs-timepub,0.0505050505050505,0.000339760384369455
linear_regression,4,hmcs,2.63157894736842,0.0128568917253135
vips,4,mutexee,0.278551532033426,0.00116231555118627
pca,2,hmcs,0.084530853761623,0.000582560263435802
vips,4,c-bo-mcs_stp,0.153609831029186,0.000830923921242259
freqmine,4,hticket-ls,0.032,0.000179378503195797
linear_regression,2,c-bo-mcs_stp,1.75438596491228,0.0101811529489867
sqlite,4,c-bo-mcs_stp,5691,39.9063505729352
radiosity_ll,4,clh_spin,244603,1078.31142434327
freqmine,1,c-tkt-tkt,0.0165864985901476,0.000112576964635013
lu_ncb,2,mcs-ls,0.0492125984251968,0.000297163291286211
radiosity,4,mcs_spin,0.0664010624169987,0.000516793453129063
linear_regression,1,hmcs,1.04166666666667,0.00719296544666996
s_raytrace,3,mutexee,0.0920810313075506,0.000420125735675506
radiosity,1,spinlock-ls,0.0573065902578797,0.000471910767329277
rocksdb,1,pthread,2520553,17223.6478876797
p_raytrace,4,ahmcs,0.0132205182443152,0.000115182423431988
s_raytrace_ll,3,c-bo-mcs_spin,494107,2174.30569024372
lu_cb,1,c-bo-mcs_stp,0.0459136822773186,0.000316777420864693
p_raytrace,4,ticket-ls,0.0134825401105568,0.000117677879296962
histogram,4,backoff,0.238095238095238,0.00208305044640333
bodytrack,2,pthread,0.0359324469996407,0.00030119994092674
streamcluster_ll,1,ticket-ls,9730,67.7243625127682
volrend,2,ticket,0.100806451612903,0.000758656797533042
kyotocabinet,4,mutexee,199414,1054.81881434237
lu_ncb,1,ttas,0.0416840350145894,0.000266283173805769
freqmine,1,hmcs,0.0164392569455861,0.000111086719738343
rocksdb,2,mcs-timepub,4909220,27724.2445107792
s_raytrace,1,spinlock,0.0542005420054201,0.000343120275090559
radiosity,2,mutexee,0.0586854460093897,0.000468841901583726
streamcluster_ll,4,malth_spin,2652,17.2067621900632
p_raytrace,1,alock-ls,0.0135648399348888,0.000117951174557148
s_raytrace_ll,2,mcs-timepub,325732,1627.0962384826
vips,2,hmcs,0.165016501650165,0.000890278548019575
radiosity,1,mcs_stp,0.0339673913043478,0.000304370961284023
mysqld,1,mcs_stp,1779,13.34718659763
sqlite,3,pthread,10703,53.7263675890505
kyotocabinet,4,mcs-ls,347907,1597.50310008777
bodytrack,3,c-ptl-tkt,0.0420168067226891,0.000339417751445829
matrix_multiply,3,ticket,0.0897666068222621,0.000451096750989364
swaptions,4,c-tkt-tkt,0.126422250316056,0.000516697392989973
dedup,3,partitioned,0.0135153399107988,6.79022331196989e-05
s_raytrace,3,ticket,0.0586510263929619,0.000287654524109037
vips,3,mutexee,0.232558139534884,0.00107202918535135
vips,2,hmcs,0.165837479270315,0.000883822064264836
word_count,3,ticket-ls,0.051413881748072,0.000446087978079501
blackscholes,4,c-bo-mcs_spin,0.0349283967865875,0.000265429864573447
rocksdb,4,mcs-ls,9030228,38675.5613871899
barnes,2,clh_stp,0.0808407437348424,0.000486824393771798
string_match,1,ttas-ls,0.0355745286374956,0.000240954715980279
matrix_multiply,2,ttas,0.0610500610500611,0.00035403162156277
ferret,4,ticket,0.0107457554266065,4.91164048985585e-05
radiosity,3,clh-ls,0.056785917092561,0.000453911674798783
linear_regression,1,ahmcs,1.06382978723404,0.0072851257089602
p_raytrace,3,mcs_spin,0.0136239782016349,0.000118494547033033
water_spatial,2,clh_spin,0.0155981906098893,0.000126749070840301
ssl_proxy,1,c-bo-mcs_spin,82325,549.75876058031
s_raytrace,4,ahmcs,0.145560407569141,0.000586649204826247
string_match,1,ahmcs,0.0350754121360926,0.000239089299733667
linear_regression,3,c-bo-mcs_stp,1.88679245283019,0.0100339589306047
rocksdb,1,malth_spin,2575791,17344.3349421891
rocksdb,1,backoff,2487586,16620.2187421775
kyotocabinet,2,malth_spin,344384,2083.12166194715
dedup,3,c-tkt-tkt,0.0517063081695967,0.000391498050133391
dedup,2,pthread,0.0834724540901502,0.000626622227428729
pca,3,hmcs,0.0814995925020375,0.000540795019383435
