bench,node,strategy,throughput,latency
memcached-old,7,ahmcs,27233,25215
memcached-new,6,mutexee,68874,17199
memcached-old,6,ticket-ls,20645,19615
memcached-new,6,hmcs,306470,3209
upscaledb,4,c-bo-mcs_stp,131346,201
kyotocabinet,1,hticket-ls,341054,111
ssl_proxy,8,c-ptl-tkt,28749,16195583
upscaledb,6,spinlock-ls,36669,9167
sqlite,6,mcs_stp,1846,839167
upscaledb,6,malth_stp,176636,283
memcached-old,4,ticket,38059,16607
memcached-old,6,malth_spin,34497,16351
kyotocabinet,8,clh_spin,247346,785
memcached-new,2,c-tkt-tkt,319649,3039
